sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,age_bin,split,nll,sigma_knn_corrected,raw_sigma_knn,sigma_mlp,political_entity,pulldown_strategy,data_type,publication
I7199.AG,50.05041530,14.36672670,51.06490361,7.57006298,4039.000000,494.451086,931.429016,0.77290356,Czechia_EBA.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.97762198,1059.466187,172.559219,1954.540283,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7200.AG,50.05041530,14.36672670,49.35010356,12.13494609,4250.000000,178.888042,1070.587402,0.68964535,Czechia_EBA.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.98992285,1289.167114,438.400208,1921.732666,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7201.AG,50.05041530,14.36672670,49.35131592,12.13048001,4250.000000,179.117620,1069.209595,0.69044369,Czechia_EBA.AG,1240k,"Praha-Zahradnictví (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.98870700,1286.763428,438.400208,1921.732666,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7202.AG,50.05041530,14.36672670,49.35510575,12.11651231,4250.000000,179.838106,1064.889282,0.69294012,Czechia_EBA.AG,1240k,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.98488628,1279.253540,438.400208,1921.732666,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7203.AG,50.05041530,14.36672670,49.35652519,12.11127865,4250.000000,180.109026,1063.266235,0.69387543,Czechia_EBA.AG,1240k,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",4000-6000 BP,test,6.98344767,1276.442627,438.400208,1921.732666,Czechia,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7547.AG,36.44500000,-6.21000000,40.71336619,27.32654990,5950.000000,2950.626438,927.823547,0.52370709,Spain_MLN.AG,1240k,"Campo de Hockey (Andalusia, Cádiz, San Fernando)",4000-6000 BP,test,11.88954732,1282.097778,165.938660,1344.399414,Spain,Native Pulldown on 3.2M snpset,1240k,OlaldeScience2019
I7549.AG,36.44500000,-6.21000000,40.66002854,27.39453409,5950.000000,2956.644482,924.339355,0.52727759,Spain_MLN.AG,1240k,"Campo de Hockey (Andalusia, Cádiz, San Fernando)",4000-6000 BP,test,11.94478234,1272.951294,165.938660,1344.399414,Spain,Native Pulldown on 3.2M snpset,1240k,OlaldeScience2019
I7550.AG,36.44500000,-6.21000000,50.64240054,17.72558867,6100.000000,2468.259275,805.902832,0.58421338,Spain_MLN.AG,1240k,"Campo de Hockey (Andalusia, Cádiz, San Fernando)",>6000 BP,test,11.38210738,1054.379517,60.248829,1249.819824,Spain,Native Pulldown on 3.2M snpset,1240k,OlaldeScience2019
I7570.AG,52.69630100,-0.34000000,45.01548988,17.62771422,3569.000000,1563.611230,1428.711914,0.50295550,England_C_EBA.AG,1240k,"Langtoft (England, Lincolnshire)",2500-4000 BP,test,7.86340638,2014.558472,1441.173096,2026.501831,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7573.AG,52.31060800,0.38622700,44.03563886,16.78382310,3520.000000,1521.284105,1233.898071,0.63191301,England_C_EBA.AG,1240k,"Fordham (England, Cambridgeshire)",2500-4000 BP,test,7.87796597,1552.210571,1037.496338,2033.780396,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I7632.AG,50.84486600,-0.26608700,47.86907761,12.71698855,2240.000000,997.951047,809.668213,0.56265044,England_MIA.AG,1240k,"Slonk Hill (England, Sussex, Brighton)",1000-2500 BP,test,7.45620591,1079.413330,440.925293,1224.313843,United Kingdom,Native Pulldown on 3.2M snpset,1240k,PattersonNature2021
